500 2500
119 261 1733
308 1 2323
27 102 44
69 153 1217
198 143 2264
104 88 23
483 32 1499
379 65 1839
275 442 1945
4 474 1968
478 444 1080
62 251 2432
237 277 1885
280 197 889
496 394 32
112 349 619
134 331 1650
133 61 1566
323 336 1007
267 339 2332
87 168 627
18 82 877
450 318 1505
334 97 201
223 445 946
106 56 2294
76 41 976
225 25 2036
290 348 1723
148 466 61
331 404 1081
457 422 162
185 371 2331
189 56 2427
241 130 1871
186 235 1778
331 310 819
306 386 1843
193 27 542
416 26 8
328 356 1263
408 312 184
421 496 1906
251 36 1962
30 276 1443
252 313 178
30 495 339
200 152 1077
42 345 103
436 260 1129
295 439 336
57 199 648
241 119 1995
146 222 2031
459 251 1158
402 354 323
431 383 1817
269 82 469
345 476 2165
300 411 924
280 57 2214
115 113 1912
114 353 1531
109 351 1104
491 161 1706
500 62 1559
322 492 1294
491 113 1727
459 309 2202
475 108 964
398 239 520
111 354 985
375 467 2337
257 427 539
360 417 1200
65 417 2113
475 90 2105
268 80 569
495 390 877
48 364 837
364 113 1575
383 76 2280
367 450 2247
56 206 25
446 65 2442
497 481 2210
110 455 799
66 75 231
134 69 2120
362 468 2484
50 331 1096
477 214 171
256 432 1620
354 339 825
379 285 241
172 281 1573
233 242 28
383 307 954
113 440 2022
233 154 1989
216 203 672
163 31 2237
334 287 168
305 492 859
482 222 995
222 245 627
295 329 1869
174 212 675
479 324 1467
500 408 120
340 123 174
363 286 705
99 471 343
267 275 1334
477 256 1408
471 330 1652
449 476 1981
317 1 2044
344 479 1867
310 330 1275
281 21 249
454 384 2386
10 482 1708
352 100 983
38 76 90
297 398 1771
300 347 1246
132 15 1246
175 358 1576
394 19 405
20 299 1278
120 105 2161
6 466 1642
65 170 94
399 207 669
489 355 919
259 154 1265
357 286 131
454 312 489
30 205 1507
286 76 2158
63 196 114
75 53 1079
69 117 600
162 16 2306
182 356 512
100 114 1666
216 322 1803
347 276 1614
335 157 671
193 442 246
202 357 1941
167 431 845
98 499 962
197 12 977
355 194 2332
366 293 1797
383 9 619
185 355 246
151 41 902
321 85 695
418 139 2051
359 305 2334
203 402 684
16 451 2196
344 305 1389
27 170 533
324 53 2041
294 89 1247
391 239 1139
292 411 2076
486 329 66
389 39 222
74 93 1124
109 109 1074
304 452 1230
44 331 1899
77 154 1303
469 299 2392
68 189 630
58 332 541
133 169 1221
50 57 759
272 482 1351
247 91 1459
172 394 2263
401 290 1093
299 218 1098
102 38 1748
345 105 788
474 163 1619
366 147 1287
86 49 696
344 320 2177
47 66 267
357 237 1013
119 137 2154
63 287 371
12 240 408
111 84 2365
398 410 2379
368 127 1377
155 213 1925
202 408 1744
378 454 2161
497 311 397
361 281 385
14 196 172
236 59 1263
495 170 847
359 67 2256
89 435 2382
466 441 2446
390 142 706
486 371 1011
146 367 1173
43 79 2306
279 92 501
302 179 2059
65 174 1228
411 384 147
18 473 433
251 438 873
49 327 1014
254 164 736
264 310 1455
289 204 533
94 482 125
94 284 2155
4 348 1828
84 110 1712
230 479 1684
162 81 1973
386 129 651
251 234 815
486 350 2124
440 138 179
473 231 160
449 176 1295
103 31 994
283 114 103
494 195 2433
29 208 1514
353 93 1142
3 195 876
169 181 577
144 472 1214
322 444 296
482 244 1971
128 199 1001
122 481 2467
224 326 1513
157 206 2221
22 58 665
163 412 360
390 81 892
466 224 2363
179 398 1659
326 231 254
296 358 1452
149 479 932
467 55 609
479 63 814
51 84 1223
68 98 1135
279 488 1567
170 453 2142
384 484 539
394 309 769
148 457 1627
451 457 457
235 423 2363
343 253 925
157 304 360
231 223 458
365 1 945
283 22 1249
425 257 84
463 151 245
84 150 1201
62 100 1657
18 334 431
381 29 183
157 37 838
17 267 1912
474 484 2412
270 266 2285
370 42 42
454 357 44
198 440 1193
250 1 144
258 370 330
188 102 2358
222 259 894
412 127 1012
175 452 2495
87 221 2113
371 90 654
264 395 1362
307 444 2301
351 45 1653
495 302 2375
324 341 476
33 415 2086
278 326 1212
141 500 2163
136 438 2235
100 161 177
105 424 2423
467 83 367
119 433 411
272 427 1713
498 102 2405
473 486 1319
59 115 644
122 256 2496
137 243 1785
371 342 797
47 446 721
470 264 655
188 383 1587
450 6 1366
162 3 319
419 475 805
237 385 1419
233 359 2026
228 495 1268
364 217 109
161 116 1907
233 437 1670
387 124 1904
325 73 409
42 87 911
361 5 238
17 241 474
287 473 332
313 52 2178
80 268 1895
41 428 2362
299 160 798
468 398 1421
224 74 2345
132 116 1431
395 328 2435
484 344 528
457 482 1352
141 146 2404
170 78 671
416 118 1950
277 416 1961
74 235 1358
494 458 1931
339 442 1398
121 188 1225
56 171 2420
435 479 1402
286 119 1547
41 141 1624
211 56 593
160 333 1508
472 406 95
329 252 1904
112 442 2345
9 62 32
86 469 1554
5 403 1033
258 41 1503
305 81 143
280 144 199
225 155 1531
84 127 1288
178 455 891
82 418 1332
278 279 394
162 364 1862
215 220 117
247 478 157
250 134 2089
392 413 232
442 489 387
472 73 2013
112 250 319
2 183 1089
334 461 1867
79 122 1582
292 188 1301
260 435 1278
268 36 763
357 427 28
88 369 1016
326 192 1588
338 155 1838
9 157 1372
97 342 2332
315 272 1305
396 63 993
48 323 1279
178 442 2314
440 298 592
467 238 2460
483 63 1004
70 253 1158
259 261 166
131 209 1859
314 23 1630
471 418 1545
463 317 1719
93 494 1160
406 434 1958
497 252 695
309 234 1609
312 156 361
321 414 1121
339 396 1329
49 62 1703
31 32 2472
75 346 1289
145 438 782
304 343 567
113 191 1819
159 499 1904
120 162 1059
480 483 1325
453 173 1572
133 221 1633
336 103 516
307 29 361
447 173 150
81 329 1992
147 293 535
317 304 533
73 423 695
131 402 1029
307 354 553
379 487 1125
11 174 728
27 480 2256
239 427 2429
389 7 109
232 5 901
266 174 704
299 246 1126
345 228 1380
225 35 85
277 413 1071
401 275 1244
128 301 576
384 40 354
164 280 1360
272 11 716
24 277 1389
80 427 486
57 123 214
436 347 748
21 475 1160
443 375 1934
39 355 1087
114 90 1478
467 105 757
178 228 1119
245 251 1747
486 330 673
471 239 147
184 174 993
431 46 319
442 489 194
228 379 1548
314 492 489
143 458 593
251 487 820
369 231 922
116 216 252
140 187 342
287 222 2367
131 5 1413
450 446 1253
495 25 631
394 190 1474
382 332 1431
474 82 2269
145 451 1999
66 418 1067
169 57 1105
10 343 2326
377 326 1830
141 275 2128
393 269 152
375 162 842
348 395 2025
130 220 607
398 364 409
248 429 1826
314 98 1882
418 459 2077
244 335 902
425 475 1176
52 219 796
56 93 1309
249 440 2055
273 421 2274
379 318 1637
139 66 2417
464 231 2366
198 1 1825
274 96 2011
27 20 1838
54 424 56
349 479 1
9 227 440
63 499 713
188 230 1530
176 220 1447
444 36 178
310 233 1530
486 358 125
496 384 1644
185 289 919
241 489 1749
241 497 2475
32 411 326
244 450 907
126 125 2126
72 420 1013
101 229 1745
130 66 454
254 414 1689
250 98 477
20 338 1465
269 430 2313
95 314 75
420 57 2024
178 182 2500
156 106 1420
168 206 2500
265 188 66
70 293 1331
259 394 428
87 414 118
52 182 399
216 276 1712
291 48 2269
166 225 1302
166 232 1407
437 400 465
436 16 1152
353 85 1296
183 343 1190
111 430 603
80 333 136
478 48 911
190 338 958
310 4 35
111 21 1618
370 457 1517
186 392 1884
337 245 469
484 279 1663
173 389 944
127 320 2276
262 298 676
173 339 2365
482 148 720
368 110 740
486 331 1548
354 16 1792
238 204 388
58 188 1166
220 212 2055
164 339 2226
291 100 523
466 124 213
183 106 860
402 325 322
494 162 4
41 16 1520
332 253 75
219 310 1762
385 381 474
291 396 1812
16 187 2263
391 4 1387
103 186 344
315 88 1668
488 81 830
491 121 1845
10 305 449
85 23 2110
198 259 2342
23 49 738
334 417 924
97 307 2427
335 409 113
178 75 1052
345 62 2132
26 53 104
222 414 408
22 498 2283
131 196 541
473 70 2442
62 404 1358
485 352 516
263 186 1276
227 215 851
278 59 912
261 437 316
217 158 1730
124 180 227
258 162 274
151 486 2344
92 47 2099
301 31 1802
316 294 339
91 372 553
441 150 463
205 410 899
20 126 1409
249 102 1088
328 211 2249
453 361 1087
148 304 633
98 104 664
399 419 1309
89 10 180
141 302 2181
456 6 1943
206 378 2068
114 478 2021
201 305 1584
302 110 2444
388 257 1100
372 355 1203
387 105 974
195 194 335
227 334 136
259 141 1494
201 347 2223
121 460 200
141 13 857
76 166 1966
20 405 1074
471 276 1428
173 163 1385
498 209 1078
332 287 1263
320 46 2404
165 246 1750
387 218 2061
438 359 1925
294 286 1090
111 157 846
185 127 1622
464 152 636
348 149 1696
425 333 2483
188 4 380
443 168 977
44 406 195
104 343 1405
381 489 1190
470 99 847
168 135 325
289 99 1976
276 298 625
323 223 1809
305 262 1812
36 56 2331
365 99 1736
59 54 430
315 434 1770
356 256 221
202 423 1855
379 63 805
354 190 2103
330 12 677
138 169 1438
449 204 1993
131 420 443
366 478 2496
148 144 282
417 500 1037
489 53 811
196 431 2373
500 285 1562
454 466 1425
130 104 593
67 404 2149
411 35 2068
353 252 1898
201 251 541
482 20 1892
370 8 1797
180 203 1727
404 55 1363
317 8 1329
241 138 2284
334 56 1039
334 319 2425
401 23 2029
150 223 279
191 56 298
434 425 2306
230 456 860
309 359 414
23 175 1922
203 268 2411
486 453 818
377 286 1636
301 38 1659
329 188 2233
460 230 1141
257 163 1917
414 245 373
274 405 1583
39 427 2110
312 130 877
74 467 1181
392 343 2466
27 496 855
37 176 542
122 135 1123
262 244 638
178 157 882
50 282 1286
485 173 712
94 484 693
322 58 2160
2 301 1354
467 327 701
321 216 2229
215 337 2363
337 450 1606
474 127 1115
207 29 396
492 13 68
56 458 904
100 279 313
259 280 1613
465 246 291
17 418 506
245 484 2194
460 321 143
65 146 1270
31 353 1150
279 344 14
346 251 2471
101 351 749
413 461 1028
25 277 2125
316 294 2394
173 38 2378
367 497 2050
9 414 695
130 296 547
279 74 1743
144 420 2493
114 372 1195
214 285 1156
93 161 1432
217 476 1577
463 149 1115
340 15 1463
241 375 1728
435 5 524
482 135 2097
224 131 368
68 244 1240
263 458 1376
418 50 1036
201 119 1864
278 81 512
244 272 1878
58 364 1104
286 298 1960
161 131 595
257 354 1077
477 274 1820
216 36 129
443 305 2031
478 357 2149
341 486 581
204 229 2204
81 287 1567
37 424 716
496 84 1347
442 340 1552
18 316 1325
338 383 712
318 325 2016
348 155 725
348 495 710
280 199 1939
335 131 1077
253 167 1000
469 15 2435
315 456 1126
366 474 1294
191 163 1676
254 332 1353
270 180 7
346 379 853
55 11 1903
345 345 1386
273 98 404
124 66 918
58 232 2374
184 97 2199
329 139 2213
356 393 44
208 14 1575
66 359 1454
419 265 464
173 462 2160
58 234 1757
462 358 174
379 267 2405
104 302 2
302 130 1992
14 486 1384
58 193 1749
132 111 1107
437 381 1724
252 53 1685
412 111 918
168 424 627
194 302 1894
98 406 2195
451 59 325
443 73 1810
178 482 1854
427 465 1816
385 402 1196
108 5 2101
292 416 2063
62 436 1486
188 129 1287
433 78 1544
128 29 603
304 323 2027
465 352 860
170 278 1176
486 15 577
33 122 2434
485 266 2349
47 179 2284
32 218 2412
171 151 342
66 130 870
20 433 44
398 249 395
257 418 1173
433 255 39
361 288 1012
294 124 2129
495 171 1807
278 54 2025
42 224 1027
383 142 2156
104 161 940
147 59 1688
41 167 105
65 451 1860
103 164 1999
467 309 1474
95 303 2144
402 433 698
278 326 2273
156 208 914
311 163 2427
250 309 2485
437 201 1003
393 118 1454
104 220 969
454 38 1777
428 133 80
71 386 864
120 15 189
245 170 2248
158 332 410
436 81 1070
272 369 770
275 113 887
80 217 1459
48 22 996
176 449 480
255 372 365
470 343 379
158 87 400
405 97 1231
314 32 163
383 304 31
5 430 2496
391 361 1712
201 408 85
49 83 34
28 190 257
393 159 99
123 169 2038
375 73 1986
105 387 1017
268 121 672
150 125 1953
145 368 1313
208 68 1072
293 468 507
178 496 1048
286 240 1058
236 214 726
273 88 2299
258 193 37
127 312 1157
150 461 1634
103 458 2353
267 165 920
339 309 2388
197 338 2235
244 123 1974
301 359 2187
379 483 2127
177 93 319
65 219 982
73 220 294
58 322 751
410 441 1768
182 279 2076
421 475 766
155 70 388
480 222 98
166 100 1933
144 128 1525
314 192 95
295 117 814
89 174 1988
339 84 2428
106 265 2058
34 185 1384
299 191 1453
38 170 2174
488 335 626
420 331 253
444 144 1297
390 439 2413
203 27 438
42 217 21
469 175 1137
378 60 2321
261 210 1011
65 247 532
91 234 1719
216 153 549
468 448 1192
116 337 2130
28 392 8
466 433 1725
338 254 1751
475 131 810
147 392 1019
10 308 1617
41 398 1351
259 113 2355
307 433 1155
499 48 343
480 428 734
488 393 2019
64 82 272
166 56 1402
475 55 645
345 64 1953
461 456 202
163 215 2167
370 373 1951
376 223 850
218 203 1277
304 42 21
322 457 2103
445 122 10
198 96 1064
343 292 1479
147 252 435
200 415 1001
366 136 2373
168 11 2096
18 80 1150
294 383 691
315 56 1499
269 500 120
130 198 67
194 392 2358
24 390 1109
458 89 375
458 307 1362
183 474 1372
130 491 952
279 285 2186
321 451 742
319 71 2093
290 200 1290
356 245 533
213 269 422
173 226 11
400 36 1669
113 218 2142
485 347 1133
288 477 1269
325 297 71
66 467 2141
11 256 192
152 111 1437
185 175 1205
106 199 1282
468 450 1317
488 63 1386
130 47 1084
114 186 1560
234 10 1208
304 428 1526
296 438 1281
487 441 743
423 125 2269
479 83 1968
261 402 417
429 390 1479
315 371 377
250 484 1914
310 217 1924
369 372 203
395 167 2492
175 5 1432
270 428 1409
38 258 1491
5 18 744
274 447 633
252 113 2355
481 362 1838
394 23 1906
169 392 129
371 138 2295
214 164 1300
498 433 1079
406 471 1688
396 327 1706
139 100 1504
124 204 2468
478 184 1829
168 77 204
425 98 2447
54 320 84
200 34 747
351 31 1532
281 288 854
469 183 680
26 173 1632
381 148 1335
348 478 370
28 497 1798
83 421 1395
29 326 715
464 26 1100
63 228 1482
94 9 769
447 329 451
478 206 1475
109 86 1975
295 285 452
16 164 1448
314 247 720
60 275 898
126 91 1775
225 153 1002
206 246 2362
474 44 42
276 21 747
103 482 2332
77 128 2468
380 144 1632
179 309 1378
250 368 504
147 346 1594
421 70 598
423 128 1343
136 101 1238
178 229 759
424 331 592
108 259 719
427 490 362
58 20 1522
287 269 390
143 416 587
88 336 1656
186 110 283
380 98 2236
118 275 1816
376 50 498
467 9 256
37 436 597
251 493 1616
272 132 384
13 274 1651
99 361 839
255 46 1448
389 426 2397
476 43 2171
291 270 573
288 88 1081
395 124 16
491 374 361
106 146 992
342 158 117
492 109 477
330 363 375
130 103 2300
26 79 194
49 221 963
121 9 402
53 255 1525
421 246 1251
281 203 2248
124 44 1257
240 36 1365
68 365 579
442 494 1682
241 372 2112
286 420 1184
248 40 544
1 444 1799
378 364 544
128 496 1098
227 119 1142
483 210 1177
200 278 893
278 219 387
311 460 2258
422 245 29
458 345 1568
1 197 2011
299 74 227
194 53 222
292 279 1841
285 114 1550
461 313 1179
353 90 898
91 253 709
200 26 805
228 483 1001
147 484 1698
10 134 2123
236 180 2176
457 323 1806
149 107 2271
51 419 2435
229 123 377
126 66 1629
186 265 2154
491 493 637
491 491 1472
188 500 1457
311 235 1136
338 44 1810
495 192 1916
266 242 1686
200 323 661
76 300 1726
56 486 990
210 476 2334
198 466 2325
169 6 676
125 168 1263
113 357 1806
422 351 1849
190 468 443
227 20 1265
387 447 1564
112 3 2049
454 212 2376
139 261 842
315 429 699
491 405 1366
253 369 1574
410 291 424
258 332 1744
52 58 263
316 445 209
232 408 2063
132 361 1626
8 500 886
201 314 166
251 156 2071
116 408 439
189 169 2081
464 279 1412
207 330 322
321 146 618
30 229 1525
444 360 1738
70 219 1089
455 419 1902
121 169 58
43 136 1817
333 176 338
414 492 1116
177 198 945
498 19 2442
115 400 2170
492 343 1030
229 264 1600
317 71 871
70 43 891
479 85 527
148 417 1554
485 330 545
100 7 595
44 356 1965
486 471 1216
155 314 410
36 42 1174
488 210 744
358 279 1786
248 258 222
126 405 138
180 389 1320
76 340 178
22 383 2033
338 220 1355
53 375 2168
463 262 61
488 249 2270
231 106 901
368 206 1010
89 331 766
78 362 506
249 438 1345
426 311 1727
311 149 447
17 201 2173
185 15 1786
97 2 2035
219 84 1492
119 303 2197
480 243 1028
245 321 2241
250 69 1178
94 347 1341
172 9 1989
470 25 689
494 61 556
280 158 57
166 228 1493
157 346 295
206 177 538
85 421 1210
325 170 1130
3 115 476
195 286 1484
183 108 1861
223 101 2421
278 380 930
187 45 2157
179 54 854
473 259 530
10 343 1950
219 167 1971
349 21 585
176 215 2223
12 397 2330
372 120 1930
292 249 1662
74 435 2206
230 113 259
84 86 1869
465 447 1711
267 166 878
237 366 1898
174 41 2465
248 52 713
77 275 1184
358 419 1933
371 492 1867
77 73 1332
187 8 1769
56 473 1215
118 239 2232
495 327 2097
245 352 1490
61 99 1893
273 27 168
457 237 86
389 107 1429
107 35 1
438 222 509
206 129 981
273 246 1071
4 93 1397
101 189 249
90 249 1199
482 21 226
1 477 1962
438 217 568
366 176 2103
219 113 676
227 171 656
59 443 1253
129 446 2197
377 398 385
477 339 985
28 173 2006
253 173 2334
214 111 1403
133 328 1078
87 46 1542
262 124 2064
269 182 6
22 162 304
218 391 53
455 219 1892
439 246 1564
296 498 1736
482 63 198
384 196 878
313 134 2423
354 396 547
418 16 80
275 389 742
430 107 484
483 413 702
226 351 1448
289 499 1797
376 480 2360
426 215 1407
303 27 1040
225 232 787
123 149 1303
203 276 191
296 205 2149
279 39 1413
332 264 116
279 404 1614
428 280 945
287 57 659
45 359 685
84 435 1416
223 410 2417
25 112 1192
67 259 748
68 389 2287
480 220 402
447 351 306
60 278 1437
4 416 1493
14 460 203
50 395 1137
466 117 46
234 493 2009
277 412 1619
24 479 1859
162 310 2079
416 257 281
73 168 1910
361 24 1825
353 37 1636
407 87 2382
43 404 999
441 137 343
301 265 1754
420 140 84
278 154 394
208 69 502
340 141 669
249 1 2044
425 205 81
412 111 667
294 5 1570
292 297 1558
134 98 1822
240 369 1961
323 498 614
68 206 2034
69 397 1526
90 146 1878
133 422 2082
65 334 44
231 127 1901
152 418 197
61 403 2146
382 142 514
195 465 1012
160 32 2069
46 453 1465
71 394 2462
449 26 1884
382 443 217
426 173 2343
326 177 612
374 237 366
20 471 2008
385 165 824
248 176 2207
316 221 1659
133 144 1404
94 92 1930
329 473 1224
397 250 896
91 427 1572
202 301 1161
68 172 131
427 56 647
102 304 822
308 471 395
319 455 2038
222 401 1481
3 229 805
226 126 55
122 68 1333
45 270 985
57 189 1156
187 467 64
333 68 1219
7 375 541
401 45 1996
290 267 1896
122 269 2124
426 495 601
332 468 2169
165 364 1290
149 421 830
157 459 296
72 292 715
290 298 441
182 50 2486
177 191 2104
72 312 2372
48 89 2218
500 421 37
168 437 2401
309 437 673
138 93 1131
285 16 774
351 305 423
292 487 1824
129 15 2014
232 87 177
455 134 2118
173 133 1538
61 153 1326
313 313 2262
485 303 1855
468 439 370
241 290 1527
16 433 865
339 61 379
353 144 817
381 98 1802
498 122 287
387 183 2291
212 495 1603
474 332 405
180 151 344
401 243 985
279 258 1417
495 97 1829
226 301 472
394 181 2421
196 31 1043
334 269 1577
124 481 1423
78 306 1254
335 337 2404
178 89 647
14 220 1404
430 66 352
258 291 652
81 37 185
1 232 2215
395 417 983
471 40 315
394 469 2472
499 303 1808
255 332 249
253 345 1820
8 274 2385
360 383 28
11 463 564
195 316 795
261 210 63
244 181 1602
410 426 1070
382 276 1373
41 30 1704
289 282 1901
108 290 674
345 149 1409
372 11 1871
435 58 2186
81 318 2248
143 413 2280
96 323 1205
165 56 480
389 96 1362
445 237 643
345 196 1284
370 40 2284
278 411 1795
1 197 204
38 277 2021
285 419 2286
416 14 1108
120 31 1163
452 271 610
165 67 846
159 263 42
443 485 581
226 262 1344
372 114 1540
427 4 817
448 288 587
233 204 2453
192 175 2483
206 478 1105
315 142 1172
13 301 934
54 95 2418
486 172 2032
181 44 497
221 470 2500
389 269 1640
327 353 1343
279 396 1869
113 453 1199
218 120 692
389 132 992
174 37 2438
444 22 2110
327 203 2005
323 275 2326
323 15 1447
462 341 299
156 120 1547
376 84 2499
74 301 118
266 41 1601
109 215 637
47 10 1659
8 336 1213
12 158 839
189 332 1353
135 145 1045
286 152 1016
184 28 100
182 101 1900
152 218 1441
252 179 1007
389 77 1868
399 84 2203
463 447 212
153 487 896
357 122 2040
401 259 192
417 442 1071
368 475 671
267 126 1241
59 230 2419
417 470 1847
284 368 1430
338 182 2228
402 334 214
297 190 687
188 442 1445
379 358 1738
449 225 213
472 344 838
64 254 419
334 23 1888
180 158 2107
461 348 2288
188 249 973
253 397 2014
440 84 1456
236 315 1665
474 115 242
186 438 1585
375 1 1190
294 334 64
33 365 1222
140 325 921
279 364 1669
252 117 2065
117 408 500
72 143 814
237 116 429
478 153 218
414 28 1219
455 173 2404
19 205 1769
92 196 945
12 475 809
180 78 1777
96 194 684
95 118 1678
261 354 1294
41 183 1298
258 448 1177
328 402 201
232 420 258
352 363 953
148 374 2279
456 405 208
84 352 402
267 299 871
445 411 576
90 451 2258
239 208 205
416 36 606
116 119 2378
373 322 592
178 469 2318
456 277 1722
164 360 2426
417 479 1076
287 275 986
362 216 1436
471 454 1495
175 369 2382
132 337 352
361 61 2173
453 238 1494
270 194 270
343 209 481
268 125 311
343 263 85
180 476 1300
115 446 254
462 472 1974
343 103 310
195 464 723
219 268 1460
212 37 5
481 231 213
314 351 189
124 45 803
61 225 1278
360 191 223
465 152 1694
439 495 149
100 41 464
322 259 731
134 471 2119
138 303 201
203 116 1051
243 92 2096
46 152 672
323 363 1862
398 328 1014
443 266 508
443 217 900
406 391 1658
488 24 628
106 13 783
307 67 1250
209 310 2341
304 207 1844
475 29 2207
189 278 34
202 73 1151
61 15 867
460 421 109
117 408 132
97 366 2497
231 24 1063
480 232 1224
321 388 2430
16 214 2311
222 402 2440
255 103 2012
257 163 27
476 122 799
84 91 1206
68 39 2423
64 269 1946
478 248 2178
54 420 1565
483 436 778
145 9 532
85 116 1634
96 372 1149
474 347 1122
272 431 2064
330 350 2102
252 265 870
198 242 970
227 295 889
143 130 176
272 274 2185
303 210 800
289 158 1023
437 131 2370
410 255 152
474 436 853
75 187 617
297 236 1858
266 314 1005
6 456 486
182 228 1259
218 382 2321
369 170 478
391 458 960
112 368 714
115 341 1149
467 267 2188
83 63 775
293 180 1589
149 186 44
134 219 2123
244 288 2005
64 156 174
41 398 484
1 362 1351
66 328 43
215 147 1161
254 81 576
28 373 1755
468 373 792
364 6 1510
486 250 149
342 313 1156
368 206 554
351 206 2267
53 271 1446
447 337 92
107 442 173
182 322 2397
437 289 270
80 4 1775
90 342 876
90 183 2189
246 402 246
151 104 1951
417 156 2073
362 102 1762
306 61 2055
478 242 2376
374 30 2017
495 110 2372
270 51 1713
497 140 2248
37 385 1649
282 35 605
84 303 260
9 17 2214
270 322 1274
176 151 515
52 24 1897
420 371 1006
291 492 908
356 488 1547
103 25 432
103 306 818
207 390 1121
319 250 489
32 371 1310
157 46 1460
23 449 835
419 368 2205
276 11 1196
183 218 36
230 172 2060
13 126 217
182 333 1458
154 3 1707
142 386 1577
303 42 623
114 64 71
449 335 791
5 462 153
53 145 1222
88 226 2393
499 90 518
215 271 1202
173 425 2204
231 418 2089
308 221 982
282 334 1898
204 134 1732
346 491 1693
498 395 189
219 334 2414
111 332 355
481 398 2126
182 422 402
386 153 671
326 312 1743
308 93 77
205 296 562
436 142 404
480 491 798
21 62 631
286 24 1962
141 4 1360
266 186 1633
19 423 1785
189 248 1096
432 55 1540
360 259 688
273 46 681
29 378 1671
326 398 1232
457 183 1756
270 175 111
481 292 1148
114 310 2070
250 351 170
198 134 76
237 345 1187
424 469 232
104 497 461
127 323 710
210 131 893
317 252 1567
428 233 1211
427 198 20
497 299 222
18 496 2207
93 85 1051
279 8 1372
363 464 868
323 442 542
33 151 2172
277 320 1776
195 247 1860
405 173 409
277 21 1707
350 38 703
57 483 287
107 261 1146
330 123 1461
198 298 1754
91 182 757
263 458 1576
390 4 674
249 261 1698
157 37 571
363 386 1108
417 442 2442
203 401 1703
201 82 677
13 279 2326
267 370 1007
23 484 316
98 373 1820
