1000 10000
732 450 3310
358 632 1771
907 701 1408
37 387 4129
813 212 4383
344 987 9241
214 571 8455
579 292 7741
13 740 3414
461 491 2296
330 222 1745
991 931 2729
761 190 2429
521 578 167
649 390 3730
383 86 5716
623 299 8287
429 230 9930
522 242 669
287 54 9159
582 735 5733
679 725 3015
407 838 4556
187 358 7486
705 358 2875
435 740 5312
502 714 963
788 143 8192
69 16 1785
738 302 2838
248 235 3924
332 913 2000
699 671 5189
606 857 8546
91 914 5255
318 348 6994
629 849 5708
943 989 9850
134 57 6217
918 146 5518
107 746 2752
382 429 9665
382 127 1687
570 733 4896
468 175 5809
722 492 8156
716 121 356
423 63 696
624 549 9105
840 818 2602
709 277 6699
812 658 7128
476 39 9606
515 609 8690
410 76 1865
218 797 8356
725 864 9828
432 638 7243
480 613 5143
584 804 8960
537 512 4236
236 324 4894
363 151 2932
968 665 9892
10 426 4319
874 995 5116
581 719 8331
409 503 6969
3 982 9933
145 917 737
104 453 1248
692 688 6923
585 402 7426
868 722 4442
760 731 2868
78 956 4862
545 536 4933
228 296 3435
548 298 3768
480 794 8684
216 898 7136
816 941 2176
738 525 4577
163 744 298
605 503 4380
824 933 2335
37 829 8871
969 56 166
755 955 9816
522 435 6609
557 650 5858
693 465 1798
220 555 5674
796 717 418
446 673 2272
825 848 5556
512 885 1737
382 205 2792
899 960 4747
714 833 7533
675 390 9182
884 434 9999
34 653 553
707 800 4621
476 597 6646
100 774 9493
655 285 729
391 666 8934
535 916 245
633 982 8429
165 656 2170
698 891 8603
696 924 2607
248 983 8759
869 810 7355
514 909 9128
358 916 6412
87 306 4429
20 192 3345
616 176 9326
44 692 8981
214 390 7223
168 85 3147
775 685 1481
885 905 6290
239 770 6199
719 127 3114
130 565 8771
559 936 2315
255 551 8490
580 947 1182
912 160 9571
134 679 7
632 805 6691
112 689 6947
402 928 4716
600 998 2195
65 127 3759
187 37 4695
501 291 1597
991 222 6543
172 133 8054
94 619 4733
452 250 5537
143 714 5578
441 115 5857
157 66 1854
351 482 9980
109 668 7369
155 169 1011
752 159 233
294 682 6717
348 775 7687
432 226 9937
968 720 4002
897 513 7116
753 669 4533
606 371 3014
938 479 7681
658 634 849
668 385 1007
252 30 2040
321 377 814
7 160 6392
295 480 5463
296 376 4975
411 129 5995
295 86 4365
308 23 196
989 680 1829
837 348 3565
196 951 1946
235 271 8675
401 278 4834
144 572 2313
958 220 6689
285 982 169
279 277 8254
996 584 7277
191 572 7308
371 761 6655
287 956 958
232 542 4228
906 294 6857
92 437 8781
404 747 4000
444 31 5981
612 661 5609
866 656 3193
494 198 9116
801 568 7876
808 854 3183
765 438 7077
992 695 370
201 786 2159
981 190 7905
332 633 5287
664 245 3947
273 462 955
465 955 152
580 755 9720
808 562 5925
990 326 4362
418 670 57
788 870 7842
946 202 6383
202 885 6016
488 548 9612
786 820 9073
740 636 4379
892 216 133
963 375 2047
239 716 8372
601 134 2393
9 921 4614
202 218 167
585 419 3051
952 258 5599
915 43 3418
339 135 2406
717 378 8973
201 692 7347
247 930 7062
971 882 5195
715 890 8467
329 444 2684
495 28 8454
546 331 1063
496 245 4458
265 935 9592
670 651 9321
642 203 7012
988 450 4941
402 772 3823
596 486 64
63 166 1507
98 661 886
552 558 568
614 405 3812
71 669 8746
14 339 9748
334 332 6951
697 672 8752
638 73 3523
812 20 6360
227 434 5526
734 532 7538
971 83 5447
539 48 4851
702 471 5519
448 484 6209
547 170 5893
849 866 5564
600 855 4988
474 666 3007
186 245 4441
63 978 1972
600 300 406
398 838 805
248 540 1275
118 339 4111
679 885 8632
571 86 5497
134 685 8704
473 511 5721
479 48 2965
271 110 8294
594 709 2594
999 106 6431
156 705 9970
782 822 4660
892 500 3897
875 70 982
724 555 1018
427 27 3880
147 858 5927
464 128 9036
757 74 7096
350 424 5553
133 579 9257
454 361 6431
114 604 6930
10 479 9352
991 202 9258
8 628 1637
888 126 5846
166 589 6325
202 698 1398
297 47 7822
202 179 6400
458 633 1112
240 98 9716
170 107 7194
873 449 5395
482 808 9374
118 47 8499
315 213 8440
640 766 1137
37 414 5535
858 615 8066
610 73 5050
721 312 1147
788 833 6605
981 57 6053
727 891 3212
100 8 9259
951 675 2823
742 314 6588
230 350 4001
116 560 616
181 521 2040
230 593 4703
728 381 1888
684 361 2944
736 440 9834
300 891 4194
558 193 1868
380 934 5533
319 515 234
319 631 3793
934 811 1665
973 393 2258
28 472 1638
915 156 3350
210 243 2789
396 542 5680
941 451 6872
808 830 1158
692 500 9672
925 819 654
718 752 9465
734 77 209
991 456 7680
628 370 1187
330 931 430
118 326 4971
149 266 6774
373 425 5955
882 116 5455
905 41 9273
559 110 4376
23 843 2804
583 834 9259
614 813 5628
801 142 7559
582 612 1236
904 112 4502
677 484 8278
632 365 5394
86 270 8786
358 180 5895
85 202 1089
889 136 274
147 749 5087
127 901 1580
685 482 2543
272 386 3655
773 62 4490
51 693 6207
796 130 4828
581 839 1007
475 924 560
915 812 3695
189 310 795
275 436 6696
206 472 8177
101 744 2914
755 516 4976
596 918 3020
802 713 2502
981 645 6340
987 471 1615
546 386 4778
592 574 5088
387 200 4523
82 757 6995
610 857 3738
524 963 5605
851 559 875
870 712 4939
723 693 6584
63 679 8054
29 577 6791
807 168 364
894 554 6563
416 987 9672
410 597 9528
499 472 2491
104 322 9401
330 543 112
268 266 2156
851 680 187
257 708 4763
47 514 2282
763 407 7188
677 175 6174
348 936 122
876 435 5593
718 890 266
118 219 809
581 486 2426
89 689 1457
275 297 3164
389 695 5030
22 457 5788
209 486 9962
383 833 898
856 60 2332
801 129 2573
66 598 9791
226 179 1628
3 619 4668
459 893 6964
975 633 8011
4 654 5467
791 863 1304
753 597 6137
2 452 8548
333 252 4677
257 670 274
399 247 1804
26 250 1422
46 708 5666
361 34 5650
371 37 7304
190 828 518
493 932 5114
981 933 3917
529 617 2521
557 873 1190
182 623 9788
986 648 8037
759 45 97
777 406 9130
426 776 6519
729 965 5346
598 810 4629
711 790 8913
980 670 529
500 226 4753
41 760 1375
828 745 8374
217 855 419
665 631 7176
794 57 303
664 137 5268
9 735 6077
989 797 5218
901 776 4888
781 627 6113
533 667 1872
259 847 3968
633 63 175
403 79 6157
930 224 7565
232 888 1702
851 248 1788
279 237 6584
497 137 2712
384 918 6338
848 802 1357
72 61 1203
391 45 6617
565 799 4047
722 728 6270
286 311 6157
339 162 5405
478 440 8641
62 936 1129
125 671 3398
462 519 6552
170 942 1964
724 332 8008
692 249 4158
738 322 1237
8 959 9547
164 298 708
920 775 3500
560 188 6787
41 312 5458
790 126 1976
341 647 917
304 371 2600
663 62 848
172 152 8169
408 159 8480
955 674 777
14 594 5903
865 505 443
652 545 7106
109 687 8583
436 27 6230
704 683 7600
655 345 2013
503 517 3516
23 276 5674
502 582 3700
630 948 293
885 812 3149
327 463 7046
784 923 1732
367 710 3758
596 765 7792
547 420 9137
911 922 1005
427 296 8280
452 150 6862
503 779 3809
147 663 8972
296 341 6435
341 125 709
424 843 7419
181 438 183
973 336 1602
461 598 8875
817 24 6523
96 828 6672
309 330 2802
469 477 817
441 124 1157
875 464 3633
935 887 475
705 419 4264
888 743 2599
841 555 197
68 371 572
942 819 5751
613 127 3081
414 596 1909
230 36 9032
739 262 1495
723 196 3733
198 901 9503
813 140 246
412 332 4152
960 751 9523
883 44 7341
634 656 819
66 422 7414
974 3 8801
357 93 5062
203 816 9610
935 13 9862
789 825 2353
34 588 5036
538 899 3139
60 134 3182
752 119 8190
570 184 4611
336 509 5965
136 865 7058
550 67 7873
511 353 5237
372 141 3413
76 527 5001
463 64 9251
601 475 384
783 226 6854
324 147 9037
934 834 7897
250 322 9761
307 223 8827
179 733 5179
767 456 4672
180 531 1198
532 993 5261
782 946 9087
518 80 7312
371 403 9810
760 688 3996
656 937 2317
417 244 2539
595 774 4271
126 541 78
797 720 5960
346 251 3304
958 384 5249
44 253 1328
707 976 9730
868 735 7769
863 742 8706
179 510 5949
717 457 74
339 582 3614
768 730 2685
727 427 2287
31 384 8023
279 779 275
959 485 2250
40 352 9336
809 215 9430
514 745 5939
814 814 395
239 504 4328
853 272 2409
889 998 5835
176 28 2570
550 659 5348
824 617 7832
426 8 2536
113 816 7102
542 681 3846
833 494 8011
227 733 7515
555 937 8786
963 177 4135
150 704 4163
719 253 3173
67 429 6141
250 854 9148
785 318 9964
886 212 3644
84 44 2490
94 270 6574
608 176 5862
745 491 3038
880 640 6742
394 358 4994
566 776 4422
706 26 3627
853 810 8297
168 48 1508
812 483 5551
653 576 820
226 536 4348
87 280 5838
476 511 3829
217 904 4538
563 821 3314
336 878 4339
963 731 6500
611 250 6899
118 61 9381
668 65 8309
839 642 4844
186 728 475
23 204 2986
851 772 9241
741 334 6062
54 670 5939
744 984 8021
595 594 2271
846 63 8683
226 730 9748
886 568 8389
729 106 469
204 480 9024
541 683 795
781 423 3481
194 476 1502
133 571 4837
505 165 1782
775 10 3844
810 588 2925
557 473 9844
297 554 8949
117 109 2429
140 649 463
287 781 4885
119 975 1712
620 459 5282
808 963 4798
589 90 808
432 899 1747
356 807 9571
199 455 9124
500 572 7232
280 63 6880
742 701 3661
626 819 9987
337 790 5445
970 597 4407
767 185 5496
926 968 7394
672 675 2552
243 226 3007
718 725 5578
950 4 5640
181 97 341
193 74 9511
179 410 8301
623 731 7897
382 497 6434
229 423 1401
975 94 2076
526 688 8301
532 406 5377
461 707 5732
101 887 9828
793 432 8901
655 610 4662
955 585 2392
204 318 6888
637 546 1662
389 520 2108
464 46 7795
116 929 552
492 390 1258
223 842 9497
402 986 8928
302 640 5889
963 947 5825
706 150 3142
594 138 9688
607 526 9207
714 342 604
509 809 533
412 653 922
22 875 3763
518 277 5748
797 930 2739
37 245 6685
862 950 1834
3 895 7323
42 502 1849
249 215 6542
204 75 9702
736 487 354
9 508 4229
123 377 3857
870 525 8138
609 561 5382
293 774 4332
479 777 8226
801 818 8727
1 418 4294
894 622 6368
596 709 1854
949 718 4713
529 840 4441
737 62 9965
875 22 9878
256 666 3651
587 144 779
165 297 949
243 297 3366
536 543 1339
904 138 9048
109 438 117
822 967 1956
262 703 3017
579 929 2390
808 185 4056
458 123 6199
589 287 8847
537 530 1144
902 417 8686
241 320 1175
640 781 2612
756 602 3578
711 215 633
80 145 5561
821 952 97
876 762 2220
427 350 2858
273 886 739
416 139 156
453 731 3827
627 370 3607
591 125 560
168 188 9127
152 619 9271
713 439 3575
161 667 9336
380 93 37
238 365 3922
976 133 7060
483 937 791
310 916 512
916 506 9989
828 25 1176
954 177 6146
576 241 936
150 401 9602
837 133 1046
873 370 1411
794 697 895
206 180 1831
348 841 1746
859 108 3251
847 935 2628
374 888 7804
871 464 3396
159 965 6796
760 802 2928
806 674 4649
568 820 2698
462 377 877
644 724 2069
742 934 7176
344 133 3111
971 506 5350
774 729 3165
169 887 130
317 998 1931
596 155 4956
245 722 6775
942 535 3503
170 179 3226
590 272 5512
765 615 7644
227 586 3501
929 359 9229
93 880 8467
574 548 4465
856 143 971
812 739 6693
938 32 1579
441 201 1109
18 142 3380
529 907 7995
524 485 7580
25 765 6290
605 858 7521
424 783 8068
240 639 7211
210 450 2301
254 739 3333
833 531 7533
293 549 6027
25 429 6933
19 305 8769
950 681 534
591 285 1743
112 60 2525
531 299 7515
93 509 5316
394 114 9055
726 946 4937
610 591 9837
636 615 5618
920 985 9922
41 286 2602
574 876 9238
668 339 8298
544 870 596
59 314 3456
374 707 3570
780 432 8867
717 394 6809
553 29 4423
170 301 8759
443 341 1044
44 914 272
282 933 7610
931 476 3831
878 886 6145
334 260 6851
255 391 5635
473 459 28
282 12 2408
56 533 9708
815 976 7048
210 371 1313
481 4 597
443 934 1073
273 812 2958
769 497 1569
972 751 2312
606 223 3770
985 504 2133
744 560 3018
804 726 9993
851 935 4715
516 768 3719
112 210 1652
536 482 1815
846 603 1311
414 574 6413
725 531 9636
847 515 491
979 610 3402
996 413 3479
340 616 5414
55 131 2181
125 594 1390
128 130 3223
943 975 3825
605 740 6398
18 817 2928
5 663 9794
847 641 5756
601 989 4168
79 328 4783
844 734 5265
24 858 9859
765 986 2340
340 280 9314
516 236 1405
266 253 8221
545 609 6235
691 808 1228
446 408 6216
613 486 7543
748 682 2629
364 705 2486
222 822 7823
913 513 4102
578 28 5338
983 293 7942
555 190 7903
790 880 5710
17 325 7469
232 289 306
126 388 5987
754 752 3044
592 325 9217
414 238 7729
868 815 5108
557 149 1401
850 704 4942
752 845 2821
813 213 3497
633 796 1137
939 921 525
277 27 9628
320 618 1952
536 383 2541
616 250 708
724 806 4208
476 8 1263
417 759 8107
589 924 2319
85 556 114
221 494 5387
97 123 4413
76 794 2382
380 330 7116
920 297 6366
979 20 4523
187 847 9530
449 263 5641
908 203 8564
226 639 8471
692 212 2965
430 308 3439
194 384 232
575 763 8913
42 34 7210
407 365 6581
282 551 8428
163 351 4042
803 610 6245
718 188 4883
189 879 7446
505 308 1754
943 501 6489
526 427 3603
439 468 1988
648 227 2352
580 860 5254
7 22 1957
401 177 566
997 246 9753
231 786 5983
677 290 8290
782 584 142
270 110 3920
224 548 6740
211 547 1318
915 126 2177
168 485 1550
476 885 5078
42 233 7676
794 463 1461
777 491 5751
418 272 6686
912 893 1795
183 116 2694
274 679 240
591 945 3718
119 112 5202
21 940 1438
98 981 8670
773 126 4484
234 254 9975
336 24 9598
21 287 3491
168 469 7958
861 743 8636
101 333 580
818 804 9044
371 824 2335
808 273 8315
829 398 5792
664 983 4398
990 318 2421
588 690 2707
430 857 9175
387 718 1269
375 170 3954
306 987 5757
701 709 4580
35 516 8204
701 696 1601
845 359 2583
242 349 6900
662 288 3942
720 717 2798
246 455 2515
515 829 9684
468 487 8022
224 187 2730
155 574 1597
358 626 9644
311 470 5003
893 711 6703
145 724 4342
86 443 5058
883 689 9512
750 203 2693
785 22 5179
807 597 8717
888 103 5642
837 460 4268
480 122 6737
834 15 7448
888 159 5171
229 596 8966
286 478 1654
150 579 7208
194 364 3229
372 522 1825
440 409 3927
82 597 7738
701 77 4860
437 262 7874
236 150 6384
759 378 7979
724 16 1808
377 165 387
936 358 9750
164 81 4271
988 872 3031
266 305 3980
3 5 4056
214 442 3669
439 29 6818
174 787 4196
152 862 7211
312 590 1727
698 525 436
799 688 4868
421 27 91
803 644 5396
782 647 1400
189 212 1193
858 651 2222
675 824 2360
222 328 4222
432 639 2163
510 688 688
297 486 5727
164 258 9106
255 60 4749
2 842 6747
401 30 9959
946 239 4961
519 914 8136
878 487 7463
451 919 7453
966 780 8492
653 77 3977
731 592 7234
836 198 7646
585 199 2839
331 952 3220
289 897 2459
601 415 3724
737 644 1210
551 447 8480
4 412 7260
495 64 688
824 146 3631
409 982 9829
406 566 7379
244 896 1330
464 537 9226
922 137 5992
997 225 3988
206 776 7434
686 131 4845
297 977 3260
336 800 8405
966 561 5738
794 966 7303
525 210 2551
854 25 1439
432 298 8927
775 294 3152
762 499 4279
547 184 3409
743 832 5385
2 167 537
759 133 2449
848 278 8766
151 802 2327
53 8 6351
843 439 9648
769 565 5941
272 327 6440
550 873 5975
958 616 8159
695 969 7325
583 79 9809
383 927 9087
148 429 5240
475 833 9599
825 675 5037
825 443 6602
765 715 8280
556 616 7504
883 926 5471
41 620 5440
717 554 4870
526 936 3148
964 83 3928
555 557 9760
154 734 8434
542 910 5229
495 26 3295
774 582 6910
278 816 5835
748 856 1806
539 924 5359
761 449 5294
908 412 6729
836 967 5637
595 120 4722
381 13 3631
961 508 4657
255 633 590
516 910 7405
703 10 9612
508 900 4535
219 660 1984
864 568 3747
592 755 5065
229 701 9184
950 81 6549
933 393 1056
589 647 3688
178 515 1950
582 217 1311
545 724 7210
79 294 7222
414 158 8141
161 749 3895
225 329 595
761 631 3028
661 563 2772
716 151 6771
755 680 8285
704 261 9501
366 157 8576
576 587 870
149 1 8027
289 513 3127
535 89 5456
481 201 6086
860 861 8648
632 928 4150
402 683 6829
686 738 441
538 104 4597
465 31 183
334 531 5535
712 819 4399
839 705 1840
646 185 3392
731 45 5605
730 676 9532
879 429 1566
59 114 3656
499 3 7111
447 467 9141
981 153 6023
868 864 6841
266 54 897
457 699 6081
849 781 4477
453 862 2504
336 92 6932
902 150 2397
557 1000 8399
667 446 6218
159 427 370
181 294 1585
373 911 6639
621 368 3689
701 568 8822
530 20 7035
385 355 6127
669 608 5628
65 516 9628
816 182 9073
33 692 6851
754 224 8496
338 948 4759
328 568 1126
369 621 45
542 150 8064
576 886 3770
702 554 2378
682 971 3893
309 786 5427
733 170 2470
936 275 4694
431 612 7993
189 940 561
666 660 1181
710 201 682
125 776 7919
895 830 3473
624 511 2443
516 171 9580
294 903 1101
764 190 7375
457 621 9986
801 161 8277
361 179 2288
893 888 4488
926 365 4616
845 259 2445
317 882 6307
111 749 5829
690 43 3731
142 806 2273
516 614 893
853 414 3405
482 127 4583
769 19 823
609 945 6539
224 141 2797
20 457 1030
326 919 5130
154 960 4172
236 101 3329
508 968 7294
752 820 4060
509 301 4186
443 422 1556
617 30 6852
155 253 7992
951 272 4800
332 949 6070
462 454 5029
985 689 5481
666 549 8448
959 652 268
370 160 1920
907 955 9341
815 571 9722
666 726 4974
10 28 6597
161 360 4545
231 173 998
611 509 6039
92 174 1939
539 485 9590
158 206 5102
78 113 3056
770 927 626
492 944 4351
817 305 3379
414 466 5090
310 48 4614
308 658 6122
698 749 5648
988 640 484
577 797 4689
30 226 5153
437 996 3431
63 839 2727
765 655 1031
495 420 5848
936 730 6895
549 389 1905
23 438 5
22 425 9644
505 353 7441
545 383 1666
50 819 8013
480 233 9851
558 350 4858
589 844 3277
788 132 2358
683 680 6746
939 54 5183
943 75 5959
587 931 2312
27 828 5694
44 877 1864
57 708 1449
259 266 8798
116 206 9993
745 993 124
454 27 3804
200 965 6209
734 908 6636
693 494 5566
356 872 6745
49 267 8973
264 323 5681
712 934 2298
509 401 9855
502 145 7847
625 599 2226
780 150 2190
341 235 449
976 279 294
893 634 9165
638 34 1432
610 298 5106
642 361 39
291 222 3792
145 75 6936
344 699 886
569 831 2387
110 171 2974
559 146 2252
852 38 5238
369 27 1271
152 637 4920
609 630 7633
1000 921 1854
791 65 3928
78 408 3978
316 328 5808
54 438 8330
27 348 1827
279 199 8217
516 919 4243
138 422 8879
58 31 6861
690 30 7781
895 172 4197
822 249 3957
151 916 9284
311 970 5073
640 996 5420
819 626 6971
35 141 8889
277 631 5311
508 40 7693
368 81 9722
148 975 4245
344 148 1845
300 298 9761
936 608 6730
8 600 2077
428 418 1703
398 452 7195
638 728 9825
948 587 864
640 954 7944
713 453 9270
309 149 2417
154 800 4067
266 735 3674
347 95 2273
423 874 8042
125 271 6493
320 260 4573
496 560 7511
712 551 9465
655 616 7269
277 924 8769
693 429 1569
759 694 7655
785 40 5749
409 463 3974
451 939 6596
295 610 8856
867 106 2415
378 817 4965
194 823 2580
814 99 9504
583 144 3932
151 254 1978
157 390 4017
258 799 4831
231 601 9770
827 895 2379
682 114 8836
96 843 4
412 36 3827
992 201 2277
847 783 1420
130 285 8026
459 442 9415
476 699 4213
306 929 6813
427 107 60
158 788 2173
993 235 7015
997 999 402
175 990 9602
451 188 3385
223 669 9669
248 128 2462
662 955 1160
227 260 2441
391 39 6547
450 196 8687
974 540 1273
988 888 9271
389 62 1612
343 865 4151
727 87 820
747 334 6299
209 347 8253
720 573 7864
512 316 4902
411 765 4449
97 739 8989
721 78 1228
992 819 2290
955 161 7154
106 239 3592
277 985 6925
575 545 5623
179 265 7548
42 776 5863
296 186 6979
96 634 3069
436 355 1147
664 698 7965
305 652 9477
458 109 2715
401 737 3699
325 663 7596
947 841 2860
846 235 987
708 530 8525
687 977 4158
755 413 1864
253 76 4561
217 380 6565
45 189 2025
759 589 1762
810 265 8424
405 563 265
616 409 7851
602 468 9732
126 154 6708
636 909 4120
499 513 9547
412 730 5278
328 126 4818
352 885 1758
113 46 9374
889 450 6937
153 417 4697
3 18 2164
734 496 2670
793 131 2930
913 981 442
811 392 9523
441 719 9649
258 423 9885
16 535 3930
741 423 5731
29 927 8147
725 281 8516
241 366 5363
262 159 6493
191 423 2826
632 585 2569
155 25 2288
155 283 3062
39 650 3948
320 742 3371
50 771 649
548 847 930
415 439 6647
778 700 8157
622 890 9579
447 522 9516
16 28 540
655 182 174
68 572 175
15 891 9917
385 292 2687
386 191 9533
667 605 8972
313 734 3671
470 356 2913
400 154 786
915 521 6813
807 175 3346
980 242 269
155 609 1511
71 993 2802
109 730 4992
993 396 2948
964 61 5682
987 882 2389
899 633 9542
684 548 6063
848 354 589
545 685 6183
813 839 6791
323 261 2135
476 369 2865
819 362 2612
766 677 1672
799 663 905
187 913 3538
729 948 5437
143 147 7142
731 691 8826
265 855 665
55 177 8925
190 4 2646
406 822 5007
17 940 4035
41 738 7050
297 277 6962
834 357 7262
270 499 8408
411 581 99
589 846 5305
253 252 6482
529 793 1837
526 198 3659
532 567 3950
919 959 5687
968 255 315
281 441 1023
542 62 7521
302 825 9454
400 413 6651
56 17 2254
537 545 2047
726 71 1596
384 954 3514
333 224 5824
371 191 3079
38 472 7871
60 13 2932
933 314 8108
738 65 9520
388 121 536
993 9 6433
39 86 9855
987 469 2160
500 153 7384
324 876 2574
754 265 7397
976 324 2762
259 256 3427
367 345 9492
238 732 8964
774 77 8324
558 115 9410
764 453 2230
923 953 735
306 628 6962
232 733 1226
628 708 4549
389 966 7157
816 684 8501
659 922 1585
974 47 8661
649 604 8127
410 367 1580
992 641 8884
726 299 5863
687 530 5595
264 509 8654
812 898 7971
320 65 1655
821 723 1928
757 48 2974
417 696 3929
543 458 4647
474 449 3639
357 526 1937
219 564 8466
165 827 6975
818 990 224
141 310 5288
147 130 4362
74 886 6409
399 654 2456
679 548 1913
325 22 3361
963 730 238
252 301 6801
717 465 627
43 635 2617
618 775 9926
905 273 7407
618 346 6644
26 96 2649
834 774 7196
746 450 4569
459 412 7299
696 663 7599
497 732 1063
475 126 9049
91 744 3175
368 1000 1447
126 618 2144
769 643 8239
417 828 6364
965 574 4813
533 384 3577
831 79 4591
781 927 6322
844 402 4800
244 844 7543
419 212 2542
217 337 511
361 458 5154
951 226 7981
315 190 906
127 723 7289
703 905 3720
294 686 646
967 881 1399
766 124 2243
660 542 5806
554 759 9494
64 471 9951
569 421 6177
902 735 5366
807 862 8440
448 564 6345
519 209 3030
164 176 5910
915 293 385
509 953 3279
314 858 2389
807 921 9859
110 490 279
638 743 6366
355 901 227
795 348 8142
491 218 8351
520 734 9878
781 648 1170
517 156 2474
795 469 6331
183 627 9604
393 88 7445
672 725 4187
389 80 7087
615 874 9787
108 364 6004
810 235 2737
687 367 1384
209 883 6891
682 678 8711
365 212 2690
968 605 8777
412 628 9502
598 16 6581
36 982 4806
822 89 521
178 899 6755
266 937 8473
2 145 3355
892 179 7384
955 543 6596
644 510 3552
420 273 2179
921 222 5194
853 257 5527
10 431 8615
530 960 1865
636 225 8802
108 226 6946
815 470 5124
198 424 9666
145 67 6527
696 486 6799
226 759 7372
771 963 2629
297 973 1411
912 502 3370
776 138 7594
577 597 8172
875 411 5641
998 609 5064
16 105 5482
894 801 9319
45 26 2429
416 797 1392
44 445 3716
806 356 7217
175 484 7706
769 412 3655
940 286 2065
932 636 3025
347 3 3130
828 896 2282
498 292 2659
927 708 9455
318 103 900
33 909 5607
601 83 5442
659 203 2854
665 494 7491
729 425 4478
106 123 9832
235 950 80
868 800 8371
526 726 8430
333 395 6533
232 779 6793
190 379 6227
632 389 8782
837 53 6275
679 134 7052
509 239 6174
340 825 5476
419 692 4275
790 217 5000
571 549 1746
455 132 5524
247 674 6254
826 657 1643
607 493 8047
233 523 7532
284 31 6770
810 371 7946
285 141 637
911 282 3854
262 853 9754
7 307 2886
530 906 7911
783 731 7567
777 689 1059
176 921 4933
707 557 964
829 366 1686
774 2 826
763 912 3108
968 525 6960
721 531 1618
958 412 3875
868 546 3605
434 323 8645
844 850 8918
129 556 1474
92 736 5191
129 862 9192
954 624 455
413 591 3979
724 663 7861
342 973 7624
216 840 3169
173 626 8843
169 821 9044
86 949 4952
559 392 9687
749 520 7548
292 474 5523
98 238 1113
428 962 3128
288 303 8100
263 870 3939
432 42 916
626 211 3737
670 648 37
621 559 4429
659 659 4948
207 951 8773
81 48 9011
194 476 5324
