2000 40000
560 1 7389
311 1772 21905
485 1812 36134
1469 1096 5577
1202 769 36525
1588 647 18943
1874 16 10189
1585 1168 13833
626 928 8266
1329 541 10950
930 1453 7302
671 1763 37073
927 599 35237
1060 68 28332
989 1269 7100
1513 1208 37747
807 1082 2114
1347 666 1633
1531 1291 28560
1797 972 13453
1098 253 6905
400 923 13019
1824 1849 33618
1060 1261 1685
1391 249 13305
491 113 24513
589 1272 19594
1054 618 32611
1038 501 34253
1597 297 15224
1049 1394 37477
305 145 24751
1324 1969 38952
1293 1380 36212
1329 771 18460
633 1613 18572
1145 553 8195
1090 1606 1165
1700 995 7665
1953 591 32313
1528 1992 9706
1356 648 16203
107 323 12523
1058 1615 33902
1621 943 25024
80 1928 36636
1003 1072 15540
1198 514 7497
362 565 10491
378 869 13082
690 397 21425
747 104 6072
949 210 16395
1471 1619 2361
1725 1239 5656
748 1670 39583
1736 1025 8654
1275 222 1519
772 935 18084
1262 1312 8952
695 353 25700
471 1099 25804
895 48 30365
1641 1870 1984
1 1946 9574
1656 694 31596
1238 429 6620
244 1703 19193
114 826 30479
197 88 8142
1501 1134 24494
1200 1605 5592
1003 499 3991
1368 139 32213
1703 139 4158
1628 147 21203
1223 1736 3631
194 1979 39686
1738 445 20511
216 641 36598
709 141 13732
1202 1693 9688
1146 695 34186
1488 414 12676
52 468 31166
210 448 15312
1764 22 37400
1395 216 29730
1080 305 30174
1590 873 16815
540 1581 31307
623 1135 22999
662 280 14046
847 119 34811
1874 171 7279
1039 732 10078
703 495 2099
102 241 26314
1831 1320 10971
5 1262 33843
1171 153 19423
477 1127 28557
1828 1788 23188
225 986 7307
1035 859 5829
665 1897 26560
742 599 7054
841 1052 27295
1506 883 6966
476 887 6579
318 409 22731
93 885 21857
649 1064 9996
1837 1288 24981
1495 675 35839
1323 1339 33736
1882 433 26686
1287 1625 15738
933 1130 26972
251 1958 14210
829 627 30618
1912 719 27502
120 1720 16918
116 1556 20205
1096 1402 24879
935 1076 34570
1022 957 23002
59 595 28626
1796 1880 34107
767 130 10416
976 1310 35043
1593 1221 3761
1447 1341 21480
716 1808 31387
920 903 37140
151 189 8215
1072 1210 7523
73 1269 2118
1050 1416 8349
1508 535 478
1924 1862 17787
966 1807 39360
1078 1253 7052
558 1968 10859
296 1239 35761
1436 1741 33950
1650 812 35511
1173 1236 30779
1642 637 24547
1990 145 11081
819 420 942
957 1385 24748
316 814 26352
1719 1371 22671
577 19 30262
338 1454 34002
639 1103 24814
501 627 18401
1280 268 7038
178 609 17534
1258 1779 23953
199 736 17689
1299 1403 2502
1650 1122 39873
321 1698 30243
582 387 21696
935 1377 15150
100 1878 18129
501 1509 36396
1538 1686 27357
1071 943 35135
1375 1493 30222
1063 1143 15625
1564 793 34746
1788 1465 14795
30 398 31534
77 1332 38910
1227 1784 25139
1355 284 24647
102 173 14684
1810 1595 9978
945 969 11471
1166 31 32965
1142 1946 31757
239 1734 19573
1386 115 30322
919 192 18006
180 1770 3789
1319 1476 6072
317 1929 28244
1001 1739 4190
1330 1035 5158
1152 552 1540
117 1694 39485
225 1932 31570
1798 1317 11685
471 587 34228
476 767 34349
616 437 33824
687 1105 21752
1282 457 25490
1823 1787 36524
980 938 1428
519 1054 23121
356 1279 5404
1925 1428 3073
1961 250 7659
188 726 10777
536 1341 37565
711 380 32670
463 13 7126
304 1836 10912
1180 1167 8202
607 1686 35607
79 41 1237
1482 317 4664
906 278 25266
565 817 11991
1693 1353 37683
1258 415 28414
1927 877 8779
1404 1533 22966
668 712 36132
869 1670 6169
475 1748 12561
1712 1581 6878
727 487 37155
1992 1403 13971
334 1095 11675
369 352 20442
1134 630 29318
264 34 9202
1581 1053 265
1713 1921 3934
233 747 36033
1146 810 21966
23 1889 8452
1529 232 32206
1851 918 31300
1878 1638 36004
319 1123 38985
1988 1387 7370
1542 967 28422
1806 1031 26694
92 1616 37793
124 761 22954
89 1135 26842
892 1015 27426
1097 1217 343
749 1446 12332
1104 116 15454
88 456 11192
1458 1997 22511
231 1802 1893
1277 1893 35508
1069 369 8620
22 809 8106
1216 1701 27472
993 1149 689
1335 249 8486
18 1352 38602
1471 1440 29409
1015 1249 37405
1525 1831 15558
1417 1107 11451
1277 175 10171
1896 549 979
354 1764 25031
1825 756 34532
865 442 20780
1351 811 16132
304 633 15923
1712 1647 31171
1468 1523 3001
1025 940 38108
475 568 10634
997 463 27182
328 1168 27297
1358 993 38404
241 1857 17197
1021 1559 16007
1152 1862 2992
1074 1925 36638
596 1392 12161
1948 417 11452
407 1243 30019
1041 240 32833
574 567 28001
223 276 39345
626 517 31201
175 1889 4760
181 1040 34973
1172 465 34898
162 1412 34641
674 1359 17057
125 1766 22652
495 1158 28891
1327 1731 25809
1679 1953 38436
1023 931 21304
576 1105 35192
1335 1637 12583
659 1161 9399
1556 1674 16810
197 347 30521
1605 471 8638
256 1317 38147
1498 643 29877
1658 674 182
94 1696 27464
1749 271 12568
941 1957 556
1875 616 1716
1274 523 5389
435 1071 23735
955 676 24557
1944 1283 37873
90 781 12868
319 790 13893
500 883 3940
1963 984 14211
882 1924 38519
1437 1798 35486
1505 1423 9
1245 1858 3079
1332 1164 18106
1888 1460 31389
113 1549 24521
1332 1867 23310
1224 718 22545
1163 1032 3528
1725 265 37803
596 54 17952
81 1558 33375
441 1154 13584
1520 485 29099
1977 725 8558
1365 837 26459
237 520 32677
1547 95 23747
91 1609 30778
1970 1686 15395
1772 281 25448
1723 713 15357
1449 1154 30510
1032 673 10995
483 649 17719
1040 366 4907
1850 602 21778
527 500 5872
273 942 37480
1402 911 7165
796 682 29797
595 757 24510
303 205 27663
813 1589 38687
159 71 35687
229 1462 6404
1135 1312 19006
912 1838 5857
1135 462 36799
614 1863 31709
131 1011 24743
279 1605 33851
788 1908 12407
802 1072 13995
1488 1230 20417
1527 1810 231
1930 944 23542
1287 207 35731
1144 1693 24192
294 306 12406
354 788 19416
1096 1067 27021
1298 206 3280
1705 1008 18703
51 847 7932
468 373 14093
698 303 13036
591 1941 15594
321 1084 31286
864 1377 13943
1269 83 7083
685 1530 501
57 828 18706
1336 532 2065
38 582 32912
321 1401 19636
413 450 12290
1800 1040 26231
1745 1360 23666
1382 575 1395
1676 1844 27477
758 528 3006
1610 936 38185
316 271 32716
732 660 29650
1995 1332 9402
1631 96 15852
272 247 28891
502 343 603
520 1724 35177
1914 1751 25020
1390 509 25899
747 470 24834
932 1137 21456
1999 1869 34467
1648 215 28150
1402 1845 20245
1253 469 12843
495 1322 21537
1097 1841 37612
626 1754 31363
1645 1495 6223
1896 242 2692
1081 1525 35829
537 1523 27697
1355 1523 3911
1505 924 24108
101 528 16928
1296 1022 12249
832 119 30090
444 744 31843
1806 740 37690
28 987 14283
719 68 39807
899 956 19681
947 310 27203
1210 1814 24478
1317 1915 31005
244 1562 28379
492 393 24497
933 836 3592
1128 993 30683
817 1020 11670
1099 91 7737
1257 1341 36692
937 288 13001
492 1497 1167
969 1165 21433
326 1760 2994
704 603 7386
1552 1536 28574
1495 663 21566
177 1831 28938
1846 929 13380
1934 537 10720
625 1473 5007
1978 316 36503
1144 1637 5667
928 314 5778
1921 1017 16381
1306 920 23916
231 414 16578
1797 590 28408
734 788 33688
113 721 32224
832 1698 48
191 1675 4364
693 1170 22352
712 97 8665
489 369 28033
1221 26 24952
1136 257 35717
65 53 14658
824 786 13445
863 1250 32518
1438 433 28567
1486 623 14593
201 1668 31762
904 731 14210
1568 1571 4930
1600 792 14955
551 1927 29211
619 344 29263
1276 1167 400
1073 30 36001
1590 1467 30434
508 1304 25056
1100 1856 12723
861 759 35453
1422 326 19024
351 1925 19815
1305 827 18093
868 1797 30436
482 1073 37955
882 497 37984
882 438 11802
1315 945 39458
723 44 5313
1445 1256 8072
1250 677 12749
273 1379 11026
439 1035 24204
883 1902 8001
1671 384 13425
1625 1617 13921
1960 498 38358
1761 165 35302
1218 887 19345
883 683 18600
1306 1932 3628
406 556 19358
1431 1346 4392
1987 229 24294
1987 1899 21029
1763 1523 38645
1683 1482 29494
392 1594 24010
1693 1164 7248
1389 46 31931
340 1703 6214
319 108 32770
1676 1539 4115
67 1877 14695
712 1863 18593
1740 1977 6467
736 1659 16300
230 50 19894
239 94 9409
1839 1834 33806
1769 525 17508
334 843 9615
1103 518 17505
1570 936 25381
264 1648 37595
857 1739 27571
1323 475 5581
1975 1056 13630
1868 1646 36075
1628 1484 12260
1433 1604 784
940 1938 37978
906 1040 26847
411 961 11783
143 1225 9782
1738 433 1872
1660 107 30346
1241 81 33753
870 300 3399
1297 1927 22882
1908 1359 486
692 650 18775
1021 1556 34166
1868 318 7127
2 460 28703
1783 549 1135
1654 209 3593
352 1449 19674
104 670 18325
1502 318 16252
736 226 39962
1573 1269 26964
347 289 26871
512 156 17188
1990 157 15999
692 291 20900
1826 297 23108
1771 648 20908
1444 1103 27929
1768 957 247
371 44 26472
685 1616 23740
1648 314 26380
518 825 28536
57 1167 31044
55 1858 7335
1306 36 35631
413 1806 22630
1672 1601 5732
1601 1368 21040
1847 91 15083
670 775 24698
761 422 25011
1140 1291 10188
27 1347 23706
1071 1753 21563
405 1059 33950
387 1823 28107
1016 1495 23707
1099 1095 35427
139 1293 39517
1221 1962 28643
271 1074 33416
1633 213 706
172 592 24052
1877 1662 32156
1792 418 13214
1741 804 23037
1848 171 2531
1906 1269 15977
1332 1407 23621
1200 980 11934
1842 1250 1007
1609 882 13571
314 1054 38162
717 1282 25823
873 1073 16592
438 814 13395
1474 1013 31565
356 918 33186
684 602 6592
304 153 35923
237 347 33172
1595 1955 12406
1166 621 27459
1327 1337 14740
1502 561 32165
445 999 978
1840 824 18342
1756 1532 31611
1293 567 32564
237 871 20717
159 1459 21063
1331 1054 27017
1736 219 35637
1546 1897 27326
637 1750 34238
801 195 33236
130 386 36412
823 493 6295
434 1786 38861
997 22 34083
1713 180 7542
1127 1862 32947
144 1949 7517
132 1846 5765
1809 483 13515
47 1635 61
1282 1765 22446
45 587 21290
339 1372 37075
1552 369 25448
1634 433 25980
1527 1560 31841
473 55 8142
1989 538 25987
1754 347 16469
1620 393 8104
1680 26 38220
477 71 5158
1766 761 20530
1193 664 36898
992 298 27682
971 1824 21241
1164 649 33647
1305 989 24185
1643 742 16531
464 713 4923
919 744 18948
1138 1220 11370
295 1338 28483
824 530 29146
73 1521 7443
1755 844 3619
1347 7 10619
994 1663 39607
1178 1305 12701
1708 1768 23413
982 686 28157
1929 175 5728
1299 470 21065
133 1645 23946
1278 70 3467
721 1824 14662
691 1522 16668
1309 515 6682
1267 44 17986
1967 103 16106
1380 1084 12791
1888 1013 35318
1615 663 19787
680 795 15783
625 72 23852
443 1144 28027
1456 186 9549
123 1846 38415
1156 1113 22459
1142 1079 14561
1599 810 15997
389 1049 13009
58 664 6023
1844 1695 27169
1979 671 25592
182 1466 5088
209 921 9273
109 1396 1471
875 551 24935
1333 1692 16013
246 1290 27175
242 31 10223
1602 88 7238
1976 284 2932
1144 262 17603
735 795 11068
174 1003 37988
1799 1463 31383
1269 338 37934
203 22 31977
567 267 29619
93 860 3649
668 813 22088
1905 788 24723
837 283 27336
791 1370 10131
1858 1543 1133
197 1341 38948
1932 961 9285
217 1163 7306
193 82 3925
1811 526 15136
1811 1193 13949
251 1098 39088
973 286 1371
309 1428 2740
791 1285 4634
275 1833 19975
1222 116 39287
506 332 14802
1812 525 38883
88 687 11408
1223 850 18953
1523 1452 32402
611 776 14687
333 1436 16114
1424 226 7750
57 501 23934
383 74 16050
1670 580 18381
471 743 19257
1705 830 8296
1464 404 25497
416 1927 9300
817 889 28075
1855 1221 25511
320 996 8088
421 1052 16940
355 1787 11014
756 1456 39593
1136 278 22687
745 1982 7868
1392 1797 10271
1240 565 36549
539 1381 9437
613 1588 3009
475 1907 20004
915 680 21408
1854 1034 23546
867 1789 29353
459 1276 13630
1497 372 7963
1364 115 23759
1987 1354 36323
535 1892 38056
324 857 39995
1684 1683 18253
40 597 16932
1799 451 16317
1344 1317 32457
696 128 85
677 1976 18456
639 1340 4923
749 1678 32276
1424 212 22520
1479 887 3728
1825 923 1410
77 962 16359
1009 1112 29161
1677 455 10829
134 1502 956
218 178 14932
1025 1168 20623
1947 1916 28300
575 1691 30863
1094 1521 34102
1173 1345 1024
934 1422 24337
1292 782 5448
452 810 4254
1281 943 10107
588 1512 284
1871 537 11803
493 835 35718
1144 1409 17409
7 854 31281
108 26 4626
1483 960 28399
1819 603 39532
1618 1407 14341
1871 1039 25284
1977 1978 28795
612 1849 39683
414 693 26518
483 189 14278
243 195 29132
1524 654 27509
149 136 10820
899 1954 35423
430 1923 3181
770 1793 12219
405 121 12548
1552 1084 22748
1234 1497 23441
103 331 35629
381 574 10175
1864 449 21180
1372 949 33315
192 1847 23620
1966 276 37542
1146 1397 35686
1716 1802 28158
263 1353 15241
1011 938 8737
803 1041 37067
783 1773 33992
1309 1988 34440
488 1359 39388
154 1902 33586
1773 1867 20213
1666 1364 13610
1703 1079 31763
1860 1694 23467
1100 704 28404
188 1858 25796
1606 640 29920
1598 1948 29907
389 435 9618
129 588 23519
1714 712 19738
1927 729 5101
1888 431 24532
1650 290 14225
1116 1741 33280
1871 1928 25137
1667 1533 21776
1938 1482 29723
1845 1871 26509
1462 1999 5448
1332 64 30159
1069 342 7239
522 581 19669
1053 230 8310
1629 1697 32050
908 1568 12329
44 1586 29861
171 1523 27695
245 1719 7565
753 1180 37915
552 864 32330
710 1932 11024
1948 805 27604
1968 1857 33834
277 1837 5882
678 744 15801
1006 1139 5738
1218 1309 5613
912 1553 5331
828 657 10863
742 1208 5726
1424 269 6009
447 568 16814
50 535 19022
235 1163 26859
117 1840 29954
269 1197 17093
7 415 6401
1619 1326 20306
949 154 8962
163 1247 14170
1888 670 22438
249 1116 1006
1062 1518 5892
435 1752 9055
1645 220 35246
1951 489 20443
1043 495 30857
1795 465 14182
452 1765 10687
1414 1928 21934
1935 167 32955
724 415 18423
1729 1828 5940
1973 263 25691
1027 259 39911
272 209 24399
714 1603 21245
1570 1750 39709
104 201 37825
1142 1966 33752
1427 1900 25919
382 624 20333
804 704 30161
1095 676 30775
785 54 5385
1047 326 23946
1797 1391 19900
1393 1313 39649
1453 1768 16202
1278 909 2167
1029 336 8067
1299 1069 9042
1632 224 9745
144 1318 8773
1270 454 18826
654 1501 31503
951 1649 30894
851 1042 4206
499 494 38325
1052 1771 31233
1219 1152 33920
1637 450 2988
678 81 29563
774 576 6880
1546 1845 29686
372 851 21538
1874 1801 3186
1119 1003 32227
1676 1854 24721
2000 905 14843
1585 123 39994
1504 1759 2444
844 788 38876
406 1562 19452
1638 1459 7648
1323 1830 8850
1212 56 7003
397 1526 22005
976 1202 9858
48 1553 26763
890 1137 31237
1236 641 34996
1679 1836 36135
554 241 11696
357 230 3155
5 1904 29336
1206 1115 1743
208 1512 31269
213 839 34822
70 886 14374
1184 1775 37511
421 1010 14503
1768 1040 28338
1902 1946 24930
1598 302 11160
1104 658 13063
791 1864 8530
534 71 4393
1802 635 29231
975 705 24116
1348 240 242
1210 660 37604
1712 427 18643
401 681 14940
1331 630 13242
842 1733 10251
1904 523 18466
785 1408 8537
1177 1209 31523
407 535 24579
522 1883 10819
1116 1092 17830
719 1156 609
1713 1556 35289
653 886 9918
246 1727 4002
496 1983 6876
962 767 20284
1850 296 31844
1372 702 36379
1951 1576 8261
1121 691 17704
950 1761 2859
1558 1473 24767
846 125 35652
1115 370 35731
1116 1218 38065
1992 531 11183
275 380 39478
118 103 32180
848 405 6107
1108 1525 5149
1164 827 26909
374 384 6381
1140 1582 34858
1144 696 5579
874 1812 5148
1290 155 15678
472 781 38409
1950 1250 24864
481 98 3268
939 1557 17145
87 720 7971
995 1094 12706
1727 233 30287
936 1728 26983
515 953 3146
14 242 5652
1692 1066 18432
452 1367 29681
1315 1847 32130
935 1137 37687
79 1223 16758
401 569 15851
1458 295 12436
1745 1583 38515
1079 449 13468
576 462 11709
579 153 774
1010 605 16492
1042 271 18338
1524 1205 37826
1210 1635 11048
1967 387 37616
170 1845 263
957 1941 13845
1471 1371 293
938 298 4754
999 876 39259
124 1885 22215
616 1278 18485
1305 801 27690
1131 362 23324
178 681 6063
146 850 35907
760 158 12199
604 1628 5569
896 918 11866
1 1916 36741
1611 39 14977
1825 1006 12606
310 311 25407
351 1441 120
26 1970 800
88 467 36001
1994 1226 38158
192 1829 2138
112 1076 25055
1977 1429 34970
1069 1039 25360
45 864 16366
651 1525 22676
409 1875 38468
528 1900 34789
1680 340 9256
1680 333 38481
190 877 12662
327 1340 12089
1381 1317 1517
350 737 12908
61 782 35771
426 1784 1295
1453 544 13521
1920 1071 15772
709 1102 14111
316 1134 796
1148 1323 28024
1809 1649 21363
250 1381 29031
1766 82 7768
1025 142 12549
795 568 8684
441 20 25227
1961 292 18649
85 1000 29751
195 1315 10884
990 462 36558
1365 623 32558
728 872 23938
1758 989 2019
1525 14 32160
425 1160 7079
1460 1601 33099
686 1913 17742
1687 349 6741
1437 544 38407
672 1885 31220
1581 1250 37842
138 329 23065
75 86 28406
93 1963 26771
604 387 13930
1683 1847 23882
1133 884 30147
874 570 8495
1966 358 9390
724 1381 37275
1943 961 32876
137 1450 21204
1553 1524 27641
1958 1968 23603
728 924 14342
1010 958 8540
891 90 31423
1037 1315 14345
1884 1632 27054
1273 355 435
547 297 3747
1774 785 33197
1329 338 29072
970 647 33392
572 1727 38315
1265 736 3624
1804 1626 6065
1579 1015 23379
1923 898 11362
976 170 15716
1762 1069 20364
1861 1194 19501
1057 523 39838
480 1492 18836
1871 415 30562
537 1680 5297
160 1483 3275
224 1413 18289
1954 1687 11538
1315 663 39707
1382 776 9127
1746 636 36321
1246 44 18843
1435 876 20686
270 746 29100
832 1635 11131
128 146 18966
1402 370 378
42 675 6065
1579 1990 23079
1638 1723 11854
764 1468 8842
1436 1065 7237
630 851 36112
1315 1121 5210
767 304 32844
1897 783 38989
862 537 29710
1592 578 28385
1656 509 2726
734 146 8448
939 1261 22268
132 697 27332
1369 1678 16183
1480 1345 7655
689 111 32310
1884 359 19092
873 1573 7628
582 1164 12558
1318 819 9066
43 1904 33211
491 842 6823
1110 974 13519
441 694 21197
975 173 6893
981 1214 7003
1290 1097 21713
382 321 37285
361 1255 10448
918 572 23618
335 967 23521
1897 1809 14715
720 918 6040
590 1358 4733
138 685 3257
1030 1665 10470
32 1307 11919
1745 40 10239
1381 752 31493
1829 22 24065
1798 356 27031
1671 253 8839
385 972 31756
424 1561 39465
1508 1699 4501
764 728 14518
1234 1112 21824
1152 1208 38215
1742 588 34966
1235 768 20987
1651 566 5343
681 236 13947
1871 620 17270
1978 1395 25182
1794 1254 15232
295 17 37960
812 1602 9423
987 1105 38630
1201 847 35569
518 433 14337
1505 83 34902
1199 763 37137
1145 985 32108
414 962 25854
1947 1107 23107
1179 1401 23475
1138 564 1077
912 1902 533
1893 1454 39379
1461 1972 21811
1797 1476 11893
698 1026 33007
186 170 10343
645 935 15656
498 881 4763
1956 59 18515
1431 1548 35079
507 811 25332
1039 703 34786
770 164 14757
932 1960 22584
1177 1010 23609
183 1547 28130
878 192 13416
533 689 4648
1295 645 17059
1810 75 4958
1240 933 17769
923 323 6823
1708 1092 11338
816 376 5650
1751 1552 24659
1711 86 18205
192 963 14748
1607 1496 7437
607 1142 8433
17 1303 4859
974 894 34143
1094 1817 20465
269 1524 35909
1606 692 22284
1255 442 27835
265 153 1920
470 344 31235
1569 303 18730
1005 909 38223
1789 925 35526
999 250 38419
1141 1696 28587
1606 1964 4463
1866 1569 17154
149 824 5595
335 1088 26099
606 1909 26795
1840 1478 21097
921 834 6357
1144 975 39633
1021 1973 2234
1439 1466 31929
378 1423 11892
840 1288 33461
1993 1788 18636
1939 122 32075
390 727 11984
1184 919 5813
632 1839 20998
988 982 25972
972 2 18297
1205 1793 35762
1134 170 15184
1377 1361 28823
837 1705 22610
1472 1643 20731
1899 384 17809
1882 1567 8727
46 550 8566
1043 1537 11899
1367 860 17901
1663 65 14045
1776 1550 32566
1311 926 37926
133 115 3630
742 1938 11624
1472 1836 8008
1632 1717 15926
359 114 16476
924 1157 12364
822 523 39576
1074 537 27640
1470 312 37541
35 1622 8466
1960 106 6580
1941 847 10518
1917 670 12353
276 301 20422
201 659 535
1028 1934 10043
1744 1108 34917
1319 533 13453
1310 3 14116
850 389 12089
1315 701 36194
247 641 25392
764 557 4061
1468 832 26362
241 1385 17372
776 764 29306
1170 507 26765
87 177 31297
1539 1486 9651
7 335 38040
447 2 30740
641 248 27732
32 1363 4289
445 1182 37472
806 1423 23208
529 550 17972
1834 1719 26830
950 1805 9359
599 1696 36844
249 54 19531
640 500 5884
1379 1492 2483
1463 1876 16197
103 320 19378
1574 1477 25152
1134 5 37701
1457 191 19772
638 1492 9928
1996 90 17975
840 691 18028
722 1330 14880
605 1061 4723
1439 875 16598
1635 977 7269
1364 902 3097
516 35 25102
568 1491 11644
691 129 33135
619 124 33577
593 1315 26267
973 388 1948
1852 1344 31360
574 782 22234
1524 768 15210
792 132 4112
241 999 8498
1342 1566 9989
1337 609 24469
823 1227 24944
399 171 4611
1017 1143 22998
965 1346 2342
676 1920 21475
910 1795 20243
471 938 10726
934 1178 21724
1432 871 3641
1772 207 16249
240 1030 29475
1535 1780 17646
145 797 35140
1143 113 20486
1836 788 14757
1310 49 34551
1904 520 3488
629 1805 4666
352 1236 15888
1993 1007 16095
593 1598 27476
68 1133 7255
65 1277 14403
1556 771 14515
41 606 35303
797 268 11703
1347 171 2574
1187 800 8379
204 1503 33966
91 1847 9325
537 440 38922
364 859 20406
1619 1275 2035
373 830 6805
888 871 29763
542 19 16030
244 1366 22200
818 904 15351
1196 1107 17206
1161 1197 35052
485 1734 37843
1759 97 18701
516 67 24327
550 792 17157
1355 1679 10379
1117 220 22397
1498 815 4114
1697 1632 39017
1400 1179 4475
605 692 3672
8 1528 1757
1851 1638 26205
903 154 624
1230 703 19415
738 409 13445
1468 1525 18016
1864 1022 1182
330 1071 12814
1698 470 10344
173 1426 35035
196 1433 8915
304 1635 14552
860 538 28705
1835 119 9760
1601 856 8168
1045 323 10045
1412 538 35066
594 1219 14488
1759 917 7309
102 1441 30734
1489 1988 32519
755 291 14153
1306 1502 30690
363 1337 19160
122 937 4015
289 334 24689
685 1745 23579
103 338 4797
590 96 65
251 550 17505
984 390 9844
1854 1144 22486
7 801 37988
1048 1163 13324
208 1636 4260
574 277 20593
1615 961 36690
1193 1063 17379
341 1653 15475
406 1903 30376
262 1238 20765
106 1444 28260
591 1802 31060
930 1201 14223
253 1408 20210
865 334 24486
1809 1948 33447
498 1492 38509
1877 1832 10513
1703 589 36767
78 1203 24357
1194 1308 5800
1453 250 27953
864 1180 5153
1438 1784 32913
1648 648 35246
133 457 29545
1931 954 39388
440 1182 29571
1304 884 160
423 1313 1362
1131 506 3021
1282 310 27622
1234 1526 33153
386 963 29289
1298 610 23936
895 1095 26744
791 1025 38050
178 1464 35231
1749 1120 30115
260 1542 5779
1973 672 26637
1345 1953 946
966 1538 28823
471 1923 11786
1759 1573 2747
46 467 29841
790 1258 2866
839 1787 329
421 1887 21800
535 146 27693
314 470 38716
950 1814 17020
247 780 30557
1422 1602 832
1207 1360 4404
1953 1405 29222
1794 546 24831
659 1384 30618
1339 1805 28856
1491 691 27002
1183 1356 11823
251 657 33637
1270 1256 32768
179 677 2369
1010 1883 8080
1413 187 37484
986 1980 30030
1817 990 23765
434 681 13921
1289 171 30612
642 1705 32319
465 1955 12976
453 1577 6231
1220 1755 907
1588 764 8789
1667 528 28975
1502 1513 11307
1883 1329 38648
2000 114 31328
1920 1755 3850
883 748 27555
1202 1212 13861
177 1664 23437
407 1235 3191
1313 1174 33954
453 840 32833
1779 694 36346
1437 928 22026
85 927 20492
1412 1199 24246
1614 81 12993
1168 1282 38557
1028 1458 14572
465 216 13807
7 1880 34980
313 332 6172
1145 463 1217
1842 1899 10144
1868 1983 9423
359 1747 16621
956 1360 18701
1948 879 7983
504 258 33792
1076 1074 26008
1234 1081 21887
213 1393 26571
